section,Zmax,Zmin,Zav,H
1,78.5,67,75.43,73.2
1,78.5,67,75.43,69.2
1,78.5,67,75.43,69
1,78.5,67,75.43,69
2,75.5,66.5,73.66,73.5
2,75.5,66.5,73.66,72.5
2,75.5,66.5,73.66,65.5
2,75.5,66.5,73.66,65.5
3,75,64,72.06,71
3,75,64,72.06,68
4,75,64,72.06,70.5
4,75,64,72.06,68.5
4,75,64,72.06,67
4,75,64,72.06,64.5
4,75,64,72.06,63
5,75,58.5,69.09,72
5,75,58.5,69.09,69
5,75,58.5,69.09,68
5,75,58.5,69.09,66.5
5,75,58.5,69.09,62.5
5,75,58.5,69.09,62.5
6,74,68,73.72,69.5
7,74,68,73.72,76.5
7,74,68,73.72,74
7,74,68,73.72,73
7,74,68,73.72,73
7,74,68,73.72,70.5
7,74,68,73.72,64
8,74,66.5,72.91,70.5
8,74,66.5,72.91,68
8,74,66.5,72.91,66
9,74.5,66,72.89,66
10,74,65.5,72.37,65.5
11,74,62,70.48,74
11,74,62,70.48,70
11,74,62,70.48,68
11,74,62,70.48,67
11,74,62,70.48,67
11,74,62,70.48,66
11,74,62,70.48,63.5
11,74,62,70.48,63
12,74,61,69.94,65
13,73,67,72.68,71
13,73,67,72.68,62
14,73,67,72.68,68
14,73,67,72.68,67
15,73,66.5,72.41,71
15,73,66.5,72.41,70.5
15,73,66.5,72.41,66.7
16,73,65,71.6,72
16,73,65,71.6,70.5
16,73,65,71.6,70.2
16,73,65,71.6,70.2
16,73,65,71.6,69.2
16,73,65,71.6,68.7
16,73,65,71.6,66.5
16,73,65,71.6,64.5
16,73,65,71.6,63.5
17,73,64.5,71.33,74
17,73,64.5,71.33,73
17,73,64.5,71.33,71.5
17,73,64.5,71.33,62.5
17,73,64.5,71.33,66.5
17,73,64.5,71.33,62.3
18,73,64,71.06,66
18,73,64,71.06,64.5
18,73,64,71.06,64
19,73.2,63,70.62,62.7
20,72.7,69,73.61,73.2
20,72.7,69,73.61,73
20,72.7,69,73.61,72.7
20,72.7,69,73.61,70
20,72.7,69,73.61,69
20,72.7,69,73.61,68.5
20,72.7,69,73.61,68
20,72.7,69,73.61,66
21,72,68,72.72,73
21,72,68,72.72,68.5
21,72,68,72.72,68
22,72,67,72.18,73
22,72,67,72.18,71
22,72,67,72.18,67
23,72,65,71.1,74.2
23,72,65,71.1,70.5
23,72,65,71.1,69.5
23,72,65,71.1,66
23,72,65,71.1,65.5
23,72,65,71.1,65
23,72,65,71.1,65
24,72,65.5,71.37,65.5
25,72,64,70.56,66
25,72,64,70.56,63
26,72,63,70.02,70.5
26,72,63,70.02,70.5
26,72,63,70.02,69
26,72,63,70.02,65
26,72,63,70.02,63
27,72,63,70.02,69
27,72,63,70.02,67
27,72,63,70.02,63
28,72,63,70.02,73
28,72,63,70.02,67
28,72,63,70.02,70.5
28,72,63,70.02,70
28,72,63,70.02,66.5
28,72,63,70.02,63
29,72.5,63.5,70.54,67.5
29,72.5,63.5,70.54,67.2
29,72.5,63.5,70.54,66.7
30,72,62,69.48,64
31,72.5,62,69.73,71
31,72.5,62,69.73,70
31,72.5,62,69.73,70
31,72.5,62,69.73,66
31,72.5,62,69.73,65
31,72.5,62,69.73,65
32,72,62,69.48,74
32,72,62,69.48,72
32,72,62,69.48,69
32,72,62,69.48,67.5
32,72,62,69.48,63.5
33,72,62,69.48,72
33,72,62,69.48,71.5
33,72,62,69.48,71.5
33,72,62,69.48,70
33,72,62,69.48,68
34,72,61,68.94,65.7
35,71,69,72.76,78
35,71,69,72.76,74
35,71,69,72.76,73
35,71,69,72.76,72
35,71,69,72.76,67
36,71,67,71.68,73.2
36,71,67,71.68,73
36,71,67,71.68,69
36,71,67,71.68,67
37,71,66,71.14,70
37,71,66,71.14,67
37,71,66,71.14,67
37,71,66,71.14,66.5
38,71,66,71.14,70
38,71,66,71.14,69
38,71,66,71.14,68.5
38,71,66,71.14,66
38,71,66,71.14,64.5
38,71,66,71.14,63
39,71,66,71.14,71
39,71,66,71.14,67
40,71,66,71.14,76
40,71,66,71.14,72
40,71,66,71.14,71
40,71,66,71.14,66
40,71,66,71.14,66
41,71.7,65.5,71.22,70.5
42,71,65.5,70.87,72
42,71,65.5,70.87,72
42,71,65.5,70.87,71
42,71,65.5,70.87,69
42,71,65.5,70.87,66
42,71,65.5,70.87,65
43,71.5,65.5,71.12,73
43,71.5,65.5,71.12,65.2
44,71.5,65,70.85,68.5
44,71.5,65,70.85,67.7
45,71,65,70.6,68
45,71,65,70.6,68
45,71,65,70.6,62
46,71,64,70.06,68
46,71,64,70.06,68
46,71,64,70.06,67.5
46,71,64,70.06,66.5
46,71,64,70.06,66.5
46,71,64,70.06,66
46,71,64,70.06,65.5
46,71,64,70.06,65
47,71.7,64.5,70.68,72
47,71.7,64.5,70.68,71
47,71.7,64.5,70.68,70.5
47,71.7,64.5,70.68,67
48,71,64,70.06,68
48,71,64,70.06,68
48,71,64,70.06,68
49,71.5,64.5,70.58,72
49,71.5,64.5,70.58,71
49,71.5,64.5,70.58,70
49,71.5,64.5,70.58,66
49,71.5,64.5,70.58,64.5
49,71.5,64.5,70.58,64.5
49,71.5,64.5,70.58,62
50,71,64.5,70.33,73
50,71,64.5,70.33,62
51,71.2,63,69.62,67.5
51,71.2,63,69.62,64.5
52,71,63.5,69.79,71
52,71,63.5,69.79,67
52,71,63.5,69.79,66
52,71,63.5,69.79,65
52,71,63.5,69.79,63.5
53,71,63,69.52,71
53,71,63,69.52,70
53,71,63,69.52,70
53,71,63,69.52,64
53,71,63,69.52,65
53,71,63,69.52,65
53,71,63,69.52,64
53,71,63,69.52,63
53,71,63,69.52,63
54,71,63,69.52,71
54,71,63,69.52,71
54,71,63,69.52,70
54,71,63,69.52,63.5
55,71,62,68.98,71
55,71,62,68.98,70
55,71,62,68.98,64.5
55,71,62,68.98,62.5
55,71,62,68.98,61.5
56,71,62,68.98,72
56,71,62,68.98,70.5
56,71,62,68.98,70.5
56,71,62,68.98,64.5
56,71,62,68.98,60
57,71,62.5,69.25,70
57,71,62.5,69.25,64
57,71,62.5,69.25,64
57,71,62.5,69.25,64
57,71,62.5,69.25,62.5
58,71,62,68.98,70.5
58,71,62,68.98,70
58,71,62,68.98,69
58,71,62,68.98,69
58,71,62,68.98,66
58,71,62,68.98,64.5
58,71,62,68.98,64
59,71,61,68.44,62
60,71,58,66.82,71.5
60,71,58,66.82,69
61,70,69,72.26,71
61,70,69,72.26,70
61,70,69,72.26,69
61,70,69,72.26,69
62,70,69,72.26,70
62,70,69,72.26,68.7
62,70,69,72.26,68
62,70,69,72.26,66
62,70,69,72.26,64
62,70,69,72.26,62
63,70,68,71.72,75
64,70,67,71.18,70
64,70,67,71.18,69
64,70,67,71.18,66
64,70,67,71.18,64
64,70,67,71.18,60
65,70,67,71.18,67.5
66,70,66.5,70.91,73
66,70,66.5,70.91,72
66,70,66.5,70.91,72
66,70,66.5,70.91,66.5
66,70,66.5,70.91,69.2
66,70,66.5,70.91,67.2
66,70,66.5,70.91,66.5
66,70,66.5,70.91,66
66,70,66.5,70.91,66
66,70,66.5,70.91,64.2
66,70,66.5,70.91,63.7
67,70.5,65,70.35,72
67,70.5,65,70.35,70.2
67,70.5,65,70.35,69
67,70.5,65,70.35,68.5
68,70.5,65,70.35,68
68,70.5,65,70.35,65
68,70.5,65,70.35,61.5
68,70.5,65,70.35,61
68,70.5,65,70.35,61
69,70,65,70.1,73
69,70,65,70.1,72
69,70,65,70.1,70.5
69,70,65,70.1,65
69,70,65,70.1,65
69,70,65,70.1,64.5
69,70,65,70.1,63
69,70,65,70.1,62
70,70,65,70.1,67
70,70,65,70.1,65
70,70,65,70.1,64.5
70,70,65,70.1,62.5
70,70,65,70.1,62.5
71,70,65,70.1,70
71,70,65,70.1,70
71,70,65,70.1,67
71,70,65,70.1,65
71,70,65,70.1,65
71,70,65,70.1,63
72,70,65,70.1,79
72,70,65,70.1,75
72,70,65,70.1,71
72,70,65,70.1,69
72,70,65,70.1,67
72,70,65,70.1,65.7
72,70,65,70.1,62
73,70,65,70.1,73
73,70,65,70.1,72.5
73,70,65,70.1,65
74,70,65,70.1,69
74,70,65,70.1,69
75,70,64.7,69.938,72
75,70,64.7,69.938,70
75,70,64.7,69.938,68.7
75,70,64.7,69.938,66.5
75,70,64.7,69.938,65.5
75,70,64.7,69.938,64.7
75,70,64.7,69.938,64.5
76,70,64,69.56,70.7
76,70,64,69.56,70
76,70,64,69.56,68
76,70,64,69.56,67
76,70,64,69.56,66
76,70,64,69.56,65
76,70,64,69.56,67
77,70,64,69.56,70
77,70,64,69.56,68
77,70,64,69.56,66.7
77,70,64,69.56,65.5
78,70,64.2,69.668,72
78,70,64.2,69.668,70
78,70,64.2,69.668,62.5
78,70,64.2,69.668,61.2
78,70,64.2,69.668,60.1
79,70.5,64,69.81,74
79,70.5,64,69.81,69.5
79,70.5,64,69.81,69
79,70.5,64,69.81,68
79,70.5,64,69.81,68
79,70.5,64,69.81,68
79,70.5,64,69.81,65.5
79,70.5,64,69.81,65
80,70.5,64.5,70.08,60
81,70,64,69.56,68
81,70,64,69.56,65
81,70,64,69.56,64
81,70,64,69.56,62
82,70,64,69.56,71
82,70,64,69.56,70
82,70,64,69.56,70
82,70,64,69.56,70
82,70,64,69.56,69.5
82,70,64,69.56,68.5
82,70,64,69.56,69
82,70,64,69.56,65
82,70,64,69.56,64
83,70,63.7,69.398,70
83,70,63.7,69.398,67
83,70,63.7,69.398,65.5
83,70,63.7,69.398,63.7
83,70,63.7,69.398,63.2
83,70,63.7,69.398,62.5
83,70,63.7,69.398,62.2
83,70,63.7,69.398,61
84,70.5,63,69.27,70
84,70.5,63,69.27,68.5
84,70.5,63,69.27,65.5
84,70.5,63,69.27,63.5
85,70.5,63,69.27,72.5
85,70.5,63,69.27,69
85,70.5,63,69.27,67
85,70.5,63,69.27,64.5
85,70.5,63,69.27,64
86,70,63.5,69.29,71
86,70,63.5,69.29,67.5
86,70,63.5,69.29,67.5
86,70,63.5,69.29,63.5
87,70,63,69.02,68
87,70,63,69.02,67
87,70,63,69.02,63.7
87,70,63,69.02,62
88,70,63,69.02,70
88,70,63,69.02,66.5
88,70,63,69.02,62
88,70,63,69.02,61
89,70.5,62,68.73,72
89,70.5,62,68.73,70
89,70.5,62,68.73,69.5
89,70.5,62,68.73,69.5
89,70.5,62,68.73,68
89,70.5,62,68.73,65
89,70.5,62,68.73,64
89,70.5,62,68.73,63
90,70.3,62.7,69.008,70.7
90,70.3,62.7,69.008,69.7
90,70.3,62.7,69.008,69.2
90,70.3,62.7,69.008,65.2
90,70.3,62.7,69.008,64
90,70.3,62.7,69.008,63.5
90,70.3,62.7,69.008,63.2
91,70.5,62,68.73,72
91,70.5,62,68.73,72
91,70.5,62,68.73,60
92,70,61,67.94,71.2
92,70,61,67.94,67
93,70,60,67.4,67
93,70,60,67.4,64.5
93,70,60,67.4,65
93,70,60,67.4,63
94,70,60,67.4,65
94,70,60,67.4,65
95,70,58.5,66.59,71.5
95,70,58.5,66.59,64.5
95,70,58.5,66.59,63
96,70,58,66.32,72
96,70,58,66.32,66
96,70,58,66.32,66
96,70,58,66.32,65
96,70,58,66.32,63
97,69,68.5,71.49,75
97,69,68.5,71.49,71
97,69,68.5,71.49,70
97,69,68.5,71.49,66
97,69,68.5,71.49,66
97,69,68.5,71.49,65.5
97,69,68.5,71.49,65
97,69,68.5,71.49,65
97,69,68.5,71.49,64
97,69,68.5,71.49,64
98,69,67,70.68,64
99,69,66,70.14,73
99,69,66,70.14,72
99,69,66,70.14,71.7
99,69,66,70.14,71.5
99,69,66,70.14,65.5
99,69,66,70.14,65
99,69,66,70.14,62.7
99,69,66,70.14,62.5
100,69,66,70.14,71.2
100,69,66,70.14,71
100,69,66,70.14,70
101,69,66.7,70.518,75
101,69,66.7,70.518,74
101,69,66.7,70.518,72
101,69,66.7,70.518,68.5
102,69,66,70.14,70
102,69,66,70.14,68.5
102,69,66,70.14,68
102,69,66,70.14,65
102,69,66,70.14,63
102,69,66,70.14,62.5
103,69,66.5,70.41,73
103,69,66.5,70.41,71
103,69,66.5,70.41,70.5
103,69,66.5,70.41,70.5
103,69,66.5,70.41,67
103,69,66.5,70.41,66
103,69,66.5,70.41,61
104,69.5,66.5,70.66,70.5
104,69.5,66.5,70.66,67.5
104,69.5,66.5,70.66,64.5
104,69.5,66.5,70.66,64
105,69,66.5,70.41,71
105,69,66.5,70.41,68.5
105,69,66.5,70.41,67.5
105,69,66.5,70.41,66
105,69,66.5,70.41,63
105,69,66.5,70.41,63
106,69.5,66,70.39,71
106,69.5,66,70.39,71
106,69.5,66,70.39,70.5
106,69.5,66,70.39,70.5
106,69.5,66,70.39,66.5
106,69.5,66,70.39,65.5
106,69.5,66,70.39,64.5
107,69,66,70.14,73
107,69,66,70.14,72
107,69,66,70.14,69
107,69,66,70.14,69
107,69,66,70.14,66.5
107,69,66,70.14,65.5
107,69,66,70.14,65.5
107,69,66,70.14,65
107,69,66,70.14,64
108,69,65,69.6,70
108,69,65,69.6,68.5
108,69,65,69.6,67
108,69,65,69.6,65
108,69,65,69.6,64
108,69,65,69.6,63.5
108,69,65,69.6,61
109,69.5,64.5,69.58,69.7
109,69.5,64.5,69.58,68
109,69.5,64.5,69.58,60
109,69.5,64.5,69.58,65.2
109,69.5,64.5,69.58,64.5
109,69.5,64.5,69.58,63.7
109,69.5,64.5,69.58,60
110,69.2,64,69.16,71.7
110,69.2,64,69.16,66.5
110,69.2,64,69.16,65
110,69.2,64,69.16,63.5
111,69,63.5,68.79,65.5
112,69,63,68.52,69
112,69,63,68.52,67.5
112,69,63,68.52,63.5
113,69,63,68.52,72
114,69,63,68.52,73
114,69,63,68.52,70
114,69,63,68.52,70
114,69,63,68.52,64
114,69,63,68.52,66
114,69,63,68.52,62
115,69,63.5,68.79,70.5
115,69,63.5,68.79,67
115,69,63.5,68.79,66
115,69,63.5,68.79,65
115,69,63.5,68.79,63
115,69,63.5,68.79,62
115,69,63.5,68.79,61
116,69,63.5,68.79,70.5
116,69,63.5,68.79,63.7
116,69,63.5,68.79,63
117,69.7,62,68.33,62.5
118,69.5,62,68.23,73
118,69.5,62,68.23,72
118,69.5,62,68.23,69
119,69,62,67.98,73
119,69,62,67.98,71
119,69,62,67.98,71
119,69,62,67.98,69
119,69,62,67.98,63
120,69.5,62,68.23,72
120,69.5,62,68.23,70
120,69.5,62,68.23,67.8
120,69.5,62,68.23,65.2
120,69.5,62,68.23,64.7
120,69.5,62,68.23,64.5
120,69.5,62,68.23,63.5
120,69.5,62,68.23,63.5
120,69.5,62,68.23,62.5
120,69.5,62,68.23,62
120,69.5,62,68.23,61.5
121,69,62.5,68.25,71
121,69,62.5,68.25,70
121,69,62.5,68.25,70
121,69,62.5,68.25,69
121,69,62.5,68.25,63.5
121,69,62.5,68.25,62.5
121,69,62.5,68.25,62.5
121,69,62.5,68.25,62
122,69,62,67.98,72
122,69,62,67.98,68
122,69,62,67.98,66
122,69,62,67.98,66
123,69.5,61,67.69,70
123,69.5,61,67.69,69.5
123,69.5,61,67.69,69
123,69.5,61,67.69,63
123,69.5,61,67.69,62
124,69,61,67.44,68
124,69,61,67.44,68
124,69,61,67.44,67.5
124,69,61,67.44,64
124,69,61,67.44,63
124,69,61,67.44,63
124,69,61,67.44,63.5
124,69,61,67.44,62
124,69,61,67.44,62
125,69,60,66.9,70.5
125,69,60,66.9,68
125,69,60,66.9,62.5
126,69,60,66.9,69
126,69,60,66.9,66
126,69,60,66.9,61.7
126,69,60,66.9,60.5
127,69,60.5,67.17,69.5
128,68.7,70.5,72.42,71
128,68.7,70.5,72.42,61.7
129,68.5,67,70.43,73
129,68.5,67,70.43,71
129,68.5,67,70.43,67
130,68.5,66.5,70.16,70
130,68.5,66.5,70.16,69
130,68.5,66.5,70.16,69
130,68.5,66.5,70.16,68.7
130,68.5,66.5,70.16,68.5
130,68.5,66.5,70.16,68.5
130,68.5,66.5,70.16,68
130,68.5,66.5,70.16,68
130,68.5,66.5,70.16,68
130,68.5,66.5,70.16,66.2
130,68.5,66.5,70.16,63.2
131,68,65,69.1,67.5
131,68,65,69.1,66
132,68,65.5,69.37,66
132,68,65.5,69.37,64
133,68,65.5,69.37,71.7
133,68,65.5,69.37,71.5
133,68,65.5,69.37,70.7
133,68,65.5,69.37,65.5
133,68,65.5,69.37,66.5
133,68,65.5,69.37,65.2
133,68,65.5,69.37,61.5
134,68,65,69.1,72
134,68,65,69.1,72
134,68,65,69.1,68
134,68,65,69.1,66
135,68.5,65,69.35,69.2
135,68.5,65,69.35,68
135,68.5,65,69.35,66
135,68.5,65,69.35,66
135,68.5,65,69.35,62
135,68.5,65,69.35,61.5
135,68.5,65,69.35,61
135,68.5,65,69.35,60
136A,68.5,65,69.35,72
136A,68.5,65,69.35,70.5
136A,68.5,65,69.35,68.7
136A,68.5,65,69.35,68.5
136A,68.5,65,69.35,67.7
136A,68.5,65,69.35,64
136A,68.5,65,69.35,63.5
136A,68.5,65,69.35,63
136,68,64,68.56,71
136,68,64,68.56,68
136,68,64,68.56,68
136,68,64,68.56,67
136,68,64,68.56,65
136,68,64,68.56,64
136,68,64,68.56,63
136,68,64,68.56,63
136,68,64,68.56,62
136,68,64,68.56,61
137,68,64,68.56,66
137,68,64,68.56,63
137,68,64,68.56,65.5
137,68,64,68.56,62
138,68,64,68.56,71.2
138,68,64,68.56,71.2
138,68,64,68.56,69
138,68,64,68.56,68.5
138,68,64,68.56,62.5
139,68,64.5,68.83,62
140,68,64,68.56,69
140,68,64,68.56,67
140,68,64,68.56,66
140,68,64,68.56,66
140,68,64,68.56,66
140,68,64,68.56,65
140,68,64,68.56,65
140,68,64,68.56,65
140,68,64,68.56,64
140,68,64,68.56,63
141,68,63,68.02,70.5
141,68,63,68.02,70
141,68,63,68.02,68
141,68,63,68.02,66
141,68,63,68.02,66
141,68,63,68.02,66
141,68,63,68.02,62
141,68,63,68.02,61.5
142,68.5,63.5,68.54,73.5
142,68.5,63.5,68.54,70
142,68.5,63.5,68.54,69.5
142,68.5,63.5,68.54,65.5
143,68,63,68.02,67
144,68,63,68.02,70
144,68,63,68.02,68
144,68,63,68.02,64.5
144,68,63,68.02,64
145,68,63,68.02,71
145,68,63,68.02,68
145,68,63,68.02,66
145,68,63,68.02,65.5
145,68,63,68.02,65
145,68,63,68.02,63
145,68,63,68.02,62
145,68,63,68.02,62
146,68,63,68.02,67
146,68,63,68.02,67
146,68,63,68.02,66
146,68,63,68.02,64
146,68,63,68.02,63.5
146,68,63,68.02,61
147,68.5,63.5,68.54,68.2
148,68,63,68.02,70
149,68.2,63.5,68.39,70
149,68.2,63.5,68.39,69
149,68.2,63.5,68.39,67
149,68.2,63.5,68.39,65.5
149,68.2,63.5,68.39,64.5
150,68,62.5,67.75,68.5
151,68.7,62,67.83,67.7
151,68.7,62,67.83,61.7
152,68,62.5,67.75,66.5
153,68,61,66.94,68.5
153,68,61,66.94,68
153,68,61,66.94,64
153,68,61,66.94,63.5
153,68,61,66.94,63
154,68,60.2,66.508,66.7
155,68,60,66.4,64
155,68,60,66.4,61
155,68,60,66.4,61
155,68,60,66.4,60
155,68,60,66.4,60
155,68,60,66.4,60
155,68,60,66.4,56
156,68,60,66.4,67.5
156,68,60,66.4,67
156,68,60,66.4,66.5
156,68,60,66.4,60
157,68.5,59,66.11,69
158,68,59,65.86,68
158,68,59,65.86,65
158,68,59,65.86,64.7
158,68,59,65.86,64
158,68,59,65.86,64
158,68,59,65.86,63
158,68,59,65.86,65
158,68,59,65.86,65
158,68,59,65.86,62
158,68,59,65.86,61
159,67,66.2,69.248,72.7
159,67,66.2,69.248,72.7
159,67,66.2,69.248,71.5
159,67,66.2,69.248,65.5
159,67,66.2,69.248,63.5
160,67,66.5,69.41,71
161,67,66,69.14,73
161,67,66,69.14,71
161,67,66,69.14,70.7
161,67,66,69.14,70
161,67,66,69.14,69
161,67,66,69.14,68
161,67,66,69.14,65.5
161,67,66,69.14,62
162,67,65,68.6,69.7
162,67,65,68.6,67.5
162,67,65,68.6,65.5
162,67,65,68.6,65
162,67,65,68.6,64.5
162,67,65,68.6,63.5
163,67,65.5,68.87,70
163,67,65.5,68.87,69
163,67,65.5,68.87,65.5
163,67,65.5,68.87,65.5
163,67,65.5,68.87,63
164,67,65.5,68.87,70
164,67,65.5,68.87,67.7
164,67,65.5,68.87,63
164,67,65.5,68.87,60
165,67,65,68.6,65
165,67,65,68.6,62
165,67,65,68.6,62
166,67.5,65,68.85,71
166,67.5,65,68.85,69
166,67.5,65,68.85,64
166,67.5,65,68.85,64
166,67.5,65,68.85,63
166,67.5,65,68.85,63
166,67.5,65,68.85,63
166,67.5,65,68.85,63
166,67.5,65,68.85,63
166,67.5,65,68.85,62.5
166,67.5,65,68.85,62
167,67,64,68.06,71.5
167,67,64,68.06,70
167,67,64,68.06,67
167,67,64,68.06,67
168,67,63.5,67.79,71
168,67,63.5,67.79,70.2
168,67,63.5,67.79,69.2
168,67,63.5,67.79,68.5
168,67,63.5,67.79,68
168,67,63.5,67.79,67
168,67,63.5,67.79,65.5
168,67,63.5,67.79,63.5
169,67,63,67.52,69
169,67,63,67.52,68
169,67,63,67.52,63
170,67.5,62,67.23,70
170,67.5,62,67.23,69.5
170,67.5,62,67.23,69
170,67.5,62,67.23,68.5
170,67.5,62,67.23,66
171,67,61,66.44,67
172,66,67,69.18,70.5
172,66,67,69.18,70.5
172,66,67,69.18,67
172,66,67,69.18,66
172,66,67,69.18,66
172,66,67,69.18,62
172,66,67,69.18,62
172,66,67,69.18,61.5
173,66,67,69.18,72
173,66,67,69.18,65
173,66,67,69.18,65
173,66,67,69.18,67
173,66,67,69.18,64
173,66,67,69.18,64
173,66,67,69.18,62
173,66,67,69.18,60
173,66,67,69.18,60
174,66,66,68.64,66
174,66,66,68.64,65
174,66,66,68.64,67
174,66,66,68.64,66.5
174,66,66,68.64,65.5
175,66,66,68.64,72
175,66,66,68.64,68
175,66,66,68.64,66
175,66,66,68.64,65
175,66,66,68.64,62
175,66,66,68.64,61
176,66.5,65,68.35,68.7
176,66.5,65,68.35,68.5
176,66.5,65,68.35,66.5
176,66.5,65,68.35,64.5
176,66.5,65,68.35,62.5
176,66.5,65,68.35,60.5
176,66.5,65,68.35,60.5
176,66.5,65,68.35,57.5
177,66,65.5,68.37,72
177,66,65.5,68.37,71
177,66,65.5,68.37,67
177,66,65.5,68.37,66
177,66,65.5,68.37,65
178,66,63,67.02,70
179,66,63.5,67.29,64.5
179,66,63.5,67.29,62
180,66.5,63,67.27,67.2
180,66.5,63,67.27,67
180,66.5,63,67.27,65
180,66.5,63,67.27,65
180,66.5,63,67.27,65
180,66.5,63,67.27,63
181,66.5,62.5,67,70
181,66.5,62.5,67,68
181,66.5,62.5,67,63.5
181,66.5,62.5,67,62.5
181,66.5,62.5,67,62.5
181,66.5,62.5,67,62.5
181,66.5,62.5,67,62.5
182,66,61.5,66.21,70
183,66,60,65.4,68
183,66,60,65.4,67
183,66,60,65.4,65
183,66,60,65.4,60
184,66,60,65.4,65
185,66,59,64.86,68
185,66,59,64.86,67
185,66,59,64.86,66.5
185,66,59,64.86,66
185,66,59,64.86,65.7
185,66,59,64.86,65.5
185,66,59,64.86,65
185,66,59,64.86,65
185,66,59,64.86,64
185,66,59,64.86,63
185,66,59,64.86,62
185,66,59,64.86,61
185,66,59,64.86,60
185,66,59,64.86,58
185,66,59,64.86,57
186,65,67,68.68,66.5
186,65,67,68.68,66
186,65,67,68.68,66
186,65,67,68.68,65
187,65,67,68.68,63
188,65,66,68.14,63
188,65,66,68.14,63
188,65,66,68.14,63
188,65,66,68.14,60
189,65,66,68.14,67
189,65,66,68.14,66
189,65,66,68.14,65
189,65,66,68.14,65
189,65,66,68.14,61
190,65,65,67.6,69
190,65,65,67.6,68
190,65,65,67.6,68
190,65,65,67.6,65
190,65,65,67.6,65
190,65,65,67.6,62
190,65,65,67.6,62
190,65,65,67.6,61
190,65,65,67.6,59
191,65,65.5,67.87,70.7
191,65,65.5,67.87,65.5
192,65,65,67.6,69.2
192,65,65,67.6,69
192,65,65,67.6,68
192,65,65,67.6,67.7
192,65,65,67.6,64.5
192,65,65,67.6,60.5
193,65,64,67.06,67
193,65,64,67.06,67
193,65,64,67.06,64
193,65,64,67.06,64
193,65,64,67.06,62.5
193,65,64,67.06,60.5
194,65,63,66.52,70
194,65,63,66.52,63
195,65,63,66.52,66
195,65,63,66.52,66
195,65,63,66.52,63
196,65.5,63,66.77,71
196,65.5,63,66.77,71
196,65.5,63,66.77,69
196,65.5,63,66.77,63.5
197,65.5,60,65.15,68
197,65.5,60,65.15,68
197,65.5,60,65.15,67
197,65.5,60,65.15,67
197,65.5,60,65.15,62
198,64,64,66.56,71.5
198,64,64,66.56,68
198,64,64,66.56,65.5
198,64,64,66.56,64
198,64,64,66.56,62
198,64,64,66.56,62
198,64,64,66.56,61
199,64,64,66.56,70.5
199,64,64,66.56,68
199,64,64,66.56,67
199,64,64,66.56,65
199,64,64,66.56,64
199,64,64,66.56,64
199,64,64,66.56,60
200,64,63,66.02,64.5
201,64,60,64.4,66
201,64,60,64.4,60
202,63,63.5,65.79,68.5
202,63,63.5,65.79,63.5
203,62,66,66.64,64
203,62,66,66.64,62
203,62,66,66.64,61
204,62.5,63,65.27,66.5
204,62.5,63,65.27,57
